City	Population Density (Persons/Square Mile)	2016 Population	Land Area (Square Miles)
Erie, Pennsylvania	5,167	98,593	19
Sparks, Nevada	2,750	98,345	36
Vacaville, California	3,465	98,303	28
Albany, New York	4,587	98,111	21
Beaverton, Oregon	5,210	97,590	19
Compton, California	9,745	97,550	10
Orem, Utah	5,331	97,499	18
Flint, Michigan	2,914	97,386	33
Federal Way, Washington	4,347	96,757	22
Mission Viejo, California	5,434	96,396	18
Spokane Valley, Washington	2,551	96,340	38
Boca Raton, Florida	3,277	96,114	29
Lee's Summit, Missouri	1,517	96,076	63
Rio Rancho, New Mexico	929	96,028	103
Sandy, Utah	4,190	95,836	23
Brockton, Massachusetts	4,483	95,630	21
Meridian, Idaho	3,569	95,623	27
South Gate, California	13,196	95,538	7
Lawrence, Kansas	2,841	95,358	34
San Marcos, California	3,909	95,261	24
Portsmouth, Virginia	2,831	95,252	34
New Bedford, Massachusetts	4,752	95,032	20
Yuma, Arizona	789	94,906	120
Lawton, Oklahoma	1,168	94,653	81
Roswell, Georgia	2,323	94,598	41
Dearborn, Michigan	3,899	94,444	24
Livonia, Michigan	2,634	94,041	36
Yakima, Washington	3,458	93,986	27
Sunrise, Florida	5,179	93,734	18
Hesperia, California	1,282	93,724	73
Quincy, Massachusetts	5,654	93,688	17
Longmont, Colorado	3,546	92,858	26
Carson, California	4,957	92,797	19
Plantation, Florida	4,264	92,706	22
Lynn, Massachusetts	8,631	92,697	11
Santa Monica, California	10,996	92,478	8
Santa Barbara, California	4,722	91,930	19
Miami Beach, Florida	12,047	91,917	8
Redding, California	1,539	91,808	60
Chico, California	2,782	91,567	33
Westminster, California	9,111	91,565	10
Greenville, North Carolina	2,644	91,495	35
Nampa, Idaho	2,930	91,382	31
Edmond, Oklahoma	1,077	91,191	85
Bend, Oregon	2,760	91,122	33
Carmel, Indiana	1,919	91,065	47
San Leandro, California	6,781	90,465	13
Fishers, Indiana	2,683	90,127	34
Deltona, Florida	2,401	90,124	38
Concord, North Carolina	1,491	89,891	60
Tracy, California	4,058	89,274	22
